x,y,curasd
1.73723343e+00,-1.62316510e-02,-1.20792553e-03
1.76206312e+00,-1.66239400e-02,-1.34170906e-03
1.76535555e+00,-1.66760390e-02,-8.47652645e-03
1.77729523e+00,-1.68652340e-02,-3.54370427e-03
1.78859055e+00,-1.70449770e-02,-5.86022000e-03
1.80150368e+00,-1.72509730e-02,-6.00228326e-03
1.81543439e+00,-1.74748540e-02,-3.86914576e-03
1.82948858e+00,-1.77015150e-02,-1.74419184e-03
1.84120345e+00,-1.78904590e-02,-1.67617098e-03
1.85440767e+00,-1.81037700e-02,-1.85993335e-03
1.86654666e+00,-1.83002310e-02,-2.77412080e-04
1.89057538e+00,-1.86890980e-02,-1.11908214e-04
1.89360362e+00,-1.87381010e-02,-3.48036673e-03
1.90588902e+00,-1.89370210e-02,-2.67052584e-03
1.91926387e+00,-1.91541750e-02,-4.71437297e-03
1.93206623e+00,-1.93628530e-02,-5.00106474e-03
1.94582071e+00,-1.95880660e-02,-4.33260145e-03
1.95884972e+00,-1.98021190e-02,-4.07652012e-03
1.97229913e+00,-2.00237800e-02,-3.73603648e-03
1.98468384e+00,-2.02286220e-02,-2.22669055e-03
1.99864426e+00,-2.04597880e-02,-1.45855293e-03
2.01113023e+00,-2.06668040e-02,-1.47784902e-03
2.02436082e+00,-2.08864020e-02,-2.71407313e-03
2.03730639e+00,-2.11014810e-02,-6.07932678e-03
2.05132553e+00,-2.13356030e-02,-3.80871432e-03
2.06956208e+00,-2.16418580e-02,-4.34262433e-03
2.07773026e+00,-2.17793870e-02,-6.72230879e-03
2.09052312e+00,-2.19954350e-02,-2.91191926e-03
2.10378511e+00,-2.22202240e-02,-1.41115577e-03
2.11758150e+00,-2.24541540e-02,-9.19143954e-04
2.13095012e+00,-2.26809150e-02,-3.30772366e-03
2.14376746e+00,-2.28987560e-02,-4.83606950e-03
2.15927428e+00,-2.31635560e-02,-5.31241769e-03
2.17205498e+00,-2.33830500e-02,-2.68129407e-03
2.18580802e+00,-2.36197970e-02,1.17819501e-03
2.19921892e+00,-2.38499130e-02,2.33627310e-03
2.21101835e+00,-2.40524230e-02,3.32115297e-03
2.22547419e+00,-2.42996970e-02,4.52507079e-03
2.23910731e+00,-2.45320730e-02,4.95722497e-03
2.25291063e+00,-2.47660790e-02,3.18038956e-03
2.26612426e+00,-2.49897670e-02,3.28933889e-03
